,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,source,Outlet_Year
71,FDL12,15.85,Regular,0.121531501,Baking Goods,59.222,OUT013,High,Tier 3,Supermarket Type1,599.22,Train,36
72,FDH35,18.25,Low Fat,0.05810121044444445,Starchy Foods,164.7526,OUT045,Small,Tier 2,Supermarket Type1,4604.6728,Train,21
73,FDG02,7.855,Low Fat,0.011324862,Canned,189.6188,OUT017,Small,Tier 2,Supermarket Type1,2285.0256,Train,16
74,NCZ18,7.825,Low Fat,0.186357148,Household,254.3698,OUT049,Medium,Tier 1,Supermarket Type1,5580.7356,Train,24
75,FDC29,8.39,Regular,0.024205661,Frozen Foods,114.0176,OUT046,Small,Tier 1,Supermarket Type1,2290.352,Train,26
76,FDQ10,12.85,Low Fat,0.033230816,Snack Foods,172.3422,OUT049,Medium,Tier 1,Supermarket Type1,1207.0954,Train,24
77,FDN48,13.35,Low Fat,0.113720344,Baking Goods,89.9804,OUT019,Small,Tier 1,Grocery Store,643.1628,Train,38
78,FDL04,19.0,Low Fat,0.112556507,Frozen Foods,104.9622,OUT017,Small,Tier 2,Supermarket Type1,1587.933,Train,16
79,FDV25,5.905,Low Fat,0.04441604033333333,Canned,222.5456,OUT045,Small,Tier 2,Supermarket Type1,5305.0944,Train,21
80,FDD58,7.76,Low Fat,0.059352241,Snack Foods,101.87,OUT046,Small,Tier 1,Supermarket Type1,1697.79,Train,26
81,FDN04,11.8,Regular,0.014087057,Frozen Foods,180.3344,OUT046,Small,Tier 1,Supermarket Type1,1427.4752,Train,26
82,FDV45,16.75,Low Fat,0.045230944,Snack Foods,187.9556,OUT018,Medium,Tier 3,Supermarket Type2,4693.89,Train,14
83,NCL18,18.85,Low Fat,0.293417759,Household,194.6136,OUT019,Small,Tier 1,Grocery Store,583.2408,Train,38
84,FDR12,12.6,Regular,0.031382044,Baking Goods,171.3764,OUT027,Medium,Tier 3,Supermarket Type3,3091.9752,Train,38
85,FDG20,15.5,Regular,0.12639886,Fruits and Vegetables,177.0028,OUT017,Small,Tier 2,Supermarket Type1,2479.4392,Train,16
86,FDZ55,6.055,Low Fat,0.025403898,Fruits and Vegetables,160.992,OUT035,Small,Tier 2,Supermarket Type1,2716.464,Train,19
87,FDQ49,20.2,Regular,0.039057677,Breakfast,155.963,OUT027,Medium,Tier 3,Supermarket Type3,3285.723,Train,38
88,FDN33,6.305,Regular,0.123115764,Snack Foods,95.6436,OUT046,Small,Tier 1,Supermarket Type1,661.8052,Train,26
89,FDN27,20.85,Low Fat,0.039624006,Meat,117.2808,OUT049,Medium,Tier 1,Supermarket Type1,1523.3504,Train,24
90,FDW20,20.75,Low Fat,0.040421193,Fruits and Vegetables,122.173,OUT010,Small,Tier 3,Grocery Store,369.519,Train,25
91,DRG27,8.895,Low Fat,0.105274111,Dairy,39.9138,OUT049,Medium,Tier 1,Supermarket Type1,690.4346,Train,24
92,DRI25,19.6,Low Fat,0.033970195,Soft Drinks,55.1614,OUT045,Small,Tier 2,Supermarket Type1,1381.535,Train,21
93,FDA44,19.7,Low Fat,0.053212652,Fruits and Vegetables,57.893,OUT035,Small,Tier 2,Supermarket Type1,622.523,Train,19
94,NCR17,9.8,Low Fat,0.024378706,Health and Hygiene,114.5492,OUT035,Small,Tier 2,Supermarket Type1,1274.3412,Train,19
95,FDU04,7.93,Low Fat,0.009714595,Frozen Foods,120.0414,OUT019,Small,Tier 1,Grocery Store,487.3656,Train,38
96,FDF41,12.15,Low Fat,0.131383762,Frozen Foods,246.046,OUT049,Medium,Tier 1,Supermarket Type1,1231.73,Train,24
97,FDB56,8.75,Regular,0.07461309,Fruits and Vegetables,187.4556,OUT035,Small,Tier 2,Supermarket Type1,3755.112,Train,19
98,NCP18,12.15,Low Fat,0.028459761,Household,149.9708,OUT027,Medium,Tier 3,Supermarket Type3,4363.6532,Train,38
99,FDB56,8.75,Regular,0.074627201,Fruits and Vegetables,187.8556,OUT046,Small,Tier 1,Supermarket Type1,1314.2892,Train,26
100,FDT28,13.3,Low Fat,0.063695084,Frozen Foods,151.0708,OUT045,Small,Tier 2,Supermarket Type1,1805.6496,Train,21
101,FDD10,20.6,Regular,0.045797829,Snack Foods,178.5344,OUT027,Medium,Tier 3,Supermarket Type3,2854.9504,Train,38
102,FDW57,8.31,Regular,0.115857223,Snack Foods,179.1028,OUT049,Medium,Tier 1,Supermarket Type1,3896.2616,Train,24
103,DRB48,16.75,Regular,0.024832806,Soft Drinks,38.7822,OUT013,High,Tier 3,Supermarket Type1,667.7974,Train,36
104,FDP09,19.75,Low Fat,0.034027909,Snack Foods,212.0902,OUT018,Medium,Tier 3,Supermarket Type2,3185.853,Train,14
105,FDH14,17.1,Regular,0.0467696,Canned,141.1838,OUT013,High,Tier 3,Supermarket Type1,2247.7408,Train,36
106,FDA47,10.5,Regular,0.116576702,Baking Goods,163.121,OUT013,High,Tier 3,Supermarket Type1,1794.331,Train,36
107,FDG12,6.635,Regular,0.004924115333333334,Baking Goods,121.3098,OUT045,Small,Tier 2,Supermarket Type1,2530.7058,Train,21
108,DRE60,9.395,Low Fat,0.278974075,Soft Drinks,225.372,OUT019,Small,Tier 1,Grocery Store,679.116,Train,38
109,DRK49,14.15,Low Fat,0.035913805,Soft Drinks,41.4138,OUT013,High,Tier 3,Supermarket Type1,812.276,Train,36
110,FDD03,13.3,Low Fat,0.079806266,Dairy,232.53,OUT046,Small,Tier 1,Supermarket Type1,699.09,Train,26
111,FDS52,8.89,Low Fat,0.005505481,Frozen Foods,102.4016,OUT017,Small,Tier 2,Supermarket Type1,2732.4432,Train,16
112,FDW39,6.69,Regular,0.064625342,Meat,176.937,OUT019,Small,Tier 1,Grocery Store,176.437,Train,38
113,FDX34,6.195,Low Fat,0.071636937,Snack Foods,121.7098,OUT027,Medium,Tier 3,Supermarket Type3,4097.3332,Train,38
114,FDV11,9.1,Regular,0.078393078375,Breads,173.2054,OUT045,Small,Tier 2,Supermarket Type1,3151.8972,Train,21
115,FDD17,7.5,Low Fat,0.032677678,Frozen Foods,239.0906,OUT049,Medium,Tier 1,Supermarket Type1,5942.265,Train,24
116,FDZ16,16.85,Regular,0.160760054,Frozen Foods,192.4478,OUT017,Small,Tier 2,Supermarket Type1,4843.695,Train,16
117,FDZ46,7.485,Low Fat,0.06911065,Snack Foods,109.0228,OUT035,Small,Tier 2,Supermarket Type1,2542.0244,Train,19
118,DRA12,11.6,Low Fat,0.041177505,Soft Drinks,140.3154,OUT017,Small,Tier 2,Supermarket Type1,2552.6772,Train,16
119,FDY58,11.65,Low Fat,0.040081193,Snack Foods,227.0694,OUT018,Medium,Tier 3,Supermarket Type2,1141.847,Train,14
120,NCF19,13.0,Low Fat,0.035307322,Household,47.5034,OUT017,Small,Tier 2,Supermarket Type1,680.4476,Train,16
121,DRJ13,12.65,Low Fat,0.063017847,Soft Drinks,159.0578,OUT045,Small,Tier 2,Supermarket Type1,2085.9514,Train,21
122,FDB14,20.25,Regular,0.171938781,Canned,92.512,OUT010,Small,Tier 3,Grocery Store,186.424,Train,25
123,FDJ38,8.6,Regular,0.040197932,Canned,190.153,OUT035,Small,Tier 2,Supermarket Type1,3036.048,Train,19
124,FDW11,12.6,Low Fat,0.049058014,Breads,62.7194,OUT017,Small,Tier 2,Supermarket Type1,866.8716,Train,16
125,FDL40,17.7,Low Fat,0.01161096,Frozen Foods,95.041,OUT035,Small,Tier 2,Supermarket Type1,868.869,Train,19
126,DRI49,14.15,Low Fat,0.183507295,Soft Drinks,82.4276,OUT046,Small,Tier 1,Supermarket Type1,1137.1864,Train,26
127,FDV38,19.25,Low Fat,0.102349519,Dairy,52.7956,OUT017,Small,Tier 2,Supermarket Type1,928.1252,Train,16
128,DRG23,8.88,Low Fat,0.086708987,Hard Drinks,151.7682,OUT013,High,Tier 3,Supermarket Type1,762.341,Train,36
129,NCP30,20.5,Low Fat,0.032835147,Household,40.2822,OUT045,Small,Tier 2,Supermarket Type1,707.0796,Train,21
130,FDY25,12.0,Low Fat,0.033809913,Canned,180.5976,OUT027,Medium,Tier 3,Supermarket Type3,7968.2944,Train,38
131,NCH54,13.5,Low Fat,0.07266912,Household,160.292,OUT046,Small,Tier 1,Supermarket Type1,1438.128,Train,26
132,NCR53,12.15,Low Fat,0.144338493,Health and Hygiene,224.4404,OUT027,Medium,Tier 3,Supermarket Type3,6976.2524,Train,38
133,FDS52,8.89,Low Fat,0.009163216,Frozen Foods,101.7016,OUT010,Small,Tier 3,Grocery Store,101.2016,Train,25
134,FDG02,7.855,Low Fat,0.011307038,Canned,188.5188,OUT018,Medium,Tier 3,Supermarket Type2,952.094,Train,14
135,NCO26,7.235,Low Fat,0.076855628,Household,116.0492,OUT046,Small,Tier 1,Supermarket Type1,1969.4364,Train,26
136,FDH35,18.25,Low Fat,0.059956876,Starchy Foods,165.4526,OUT027,Medium,Tier 3,Supermarket Type3,5262.4832,Train,38
137,FDB51,6.92,Low Fat,0.038532062,Dairy,60.5852,OUT045,Small,Tier 2,Supermarket Type1,1314.2892,Train,21
138,FDX44,9.3,Low Fat,0.043209581,Fruits and Vegetables,90.8172,OUT017,Small,Tier 2,Supermarket Type1,535.3032,Train,16
139,NCN07,18.5,Low Fat,0.056816465,Others,132.1284,OUT010,Small,Tier 3,Grocery Store,263.6568,Train,25
140,NCC31,8.02,Low Fat,0.019866705,Household,154.5972,OUT035,Small,Tier 2,Supermarket Type1,1402.1748,Train,19
141,NCX54,9.195,Low Fat,0.048331717,Household,105.1622,OUT017,Small,Tier 2,Supermarket Type1,1693.7952,Train,16
142,NCO55,12.8,Low Fat,0.091221855,Others,105.5938,OUT045,Small,Tier 2,Supermarket Type1,2143.876,Train,21
143,NCC30,16.6,Low Fat,0.027622076,Household,177.6344,OUT049,Medium,Tier 1,Supermarket Type1,2676.516,Train,24
144,FDI16,14.0,Regular,0.14164533829999998,Frozen Foods,53.064,OUT035,Small,Tier 2,Supermarket Type1,905.488,Train,19
145,FDP16,18.6,Low Fat,0.039355947,Frozen Foods,246.3802,OUT049,Medium,Tier 1,Supermarket Type1,7370.406,Train,24
146,FDB11,16.0,Low Fat,0.060836524,Starchy Foods,226.8404,OUT035,Small,Tier 2,Supermarket Type1,6301.1312,Train,19
147,NCB06,17.6,Low Fat,0.082316506,Health and Hygiene,160.692,OUT035,Small,Tier 2,Supermarket Type1,1597.92,Train,19
148,FDA45,21.25,Low Fat,0.155350299,Snack Foods,178.237,OUT035,Small,Tier 2,Supermarket Type1,529.311,Train,19
149,NCO26,7.235,Low Fat,0.076841095,Household,117.5492,OUT035,Small,Tier 2,Supermarket Type1,1969.4364,Train,19
150,DRJ25,14.6,Low Fat,0.151419185,Soft Drinks,50.3692,OUT017,Small,Tier 2,Supermarket Type1,1034.6532,Train,16
151,FDR28,13.85,Regular,0.026001976,Frozen Foods,161.521,OUT018,Medium,Tier 3,Supermarket Type2,1794.331,Train,14
152,FDI04,13.65,Regular,0.073209447,Frozen Foods,197.6426,OUT018,Medium,Tier 3,Supermarket Type2,2768.3964,Train,14
153,DRK12,9.5,Low Fat,0.041683481,Soft Drinks,31.29,OUT027,Medium,Tier 3,Supermarket Type3,898.83,Train,38
154,FDX20,7.365,Low Fat,0.042560252,Fruits and Vegetables,226.172,OUT046,Small,Tier 1,Supermarket Type1,3169.208,Train,26
155,NCI18,18.35,Low Fat,0.014081156,Household,223.5746,OUT018,Medium,Tier 3,Supermarket Type2,3589.9936,Train,14
156,FDB36,5.465,Regular,0.030340533875,Baking Goods,132.5626,OUT018,Medium,Tier 3,Supermarket Type2,262.3252,Train,14
157,FDN13,18.6,Low Fat,0.152918384,Breakfast,99.8358,OUT017,Small,Tier 2,Supermarket Type1,1910.1802,Train,16
158,DRD24,13.85,Low Fat,0.030969274,Soft Drinks,140.9154,OUT017,Small,Tier 2,Supermarket Type1,1701.7848,Train,16
159,FDQ28,14.0,Regular,0.060376776,Frozen Foods,154.5656,OUT013,High,Tier 3,Supermarket Type1,2471.4496,Train,36
160,FDM22,14.0,Regular,0.04192285,Snack Foods,54.764,OUT013,High,Tier 3,Supermarket Type1,1331.6,Train,36
161,FDR07,21.35,Low Fat,0.077367431,Fruits and Vegetables,97.0094,OUT027,Medium,Tier 3,Supermarket Type3,1808.9786,Train,38
162,FDV25,5.905,Low Fat,0.045838211,Canned,222.5456,OUT018,Medium,Tier 3,Supermarket Type2,3315.684,Train,14
163,DRF49,7.27,Low Fat,0.071077939,Soft Drinks,114.2518,OUT046,Small,Tier 1,Supermarket Type1,2618.5914,Train,26
164,FDW51,6.155,Regular,0.094659871,Meat,214.556,OUT046,Small,Tier 1,Supermarket Type1,2769.728,Train,26
165,DRL01,19.5,Regular,0.077608838,Soft Drinks,233.4958,OUT017,Small,Tier 2,Supermarket Type1,5375.0034,Train,16
166,FDP25,15.2,Low Fat,0.021327477,Canned,216.8824,OUT017,Small,Tier 2,Supermarket Type1,2838.9712,Train,16
167,FDL50,12.15,Regular,0.042485444,Canned,125.0046,OUT018,Medium,Tier 3,Supermarket Type2,1743.0644,Train,14
168,NCB30,14.6,Low Fat,0.025578526,Household,198.8084,OUT027,Medium,Tier 3,Supermarket Type3,5555.4352,Train,38
169,FDW11,12.6,Low Fat,0.0489808,Breads,61.9194,OUT018,Medium,Tier 3,Supermarket Type2,619.194,Train,14
170,NCM43,14.5,Low Fat,0.019471688,Others,164.821,OUT035,Small,Tier 2,Supermarket Type1,2120.573,Train,19
171,FDK44,16.6,Low Fat,0.122918852,Fruits and Vegetables,173.0738,OUT017,Small,Tier 2,Supermarket Type1,3823.0236,Train,16
172,FDM15,11.8,Regular,0.057373797,Meat,151.4366,OUT013,High,Tier 3,Supermarket Type1,1360.2294,Train,36
173,FDS31,13.1,Regular,0.044155597,Fruits and Vegetables,178.8318,OUT013,High,Tier 3,Supermarket Type1,3969.4996,Train,36
174,FDI32,17.7,Low Fat,0.291865402,Fruits and Vegetables,115.1834,OUT010,Small,Tier 3,Grocery Store,345.5502,Train,25
175,FDR47,17.85,Low Fat,0.08535471260000001,Breads,196.5794,OUT010,Small,Tier 3,Grocery Store,585.2382,Train,25
176,FDB35,12.3,Regular,0.064750025,Starchy Foods,92.6804,OUT045,Small,Tier 2,Supermarket Type1,1010.6844,Train,21
177,NCU05,11.8,Low Fat,0.098312421,Health and Hygiene,81.4618,OUT010,Small,Tier 3,Grocery Store,161.1236,Train,25
178,DRY23,9.395,Regular,0.191013663,Soft Drinks,42.1112,OUT019,Small,Tier 1,Grocery Store,42.6112,Train,38
179,FDO24,11.1,Low Fat,0.176573035,Baking Goods,157.4604,OUT045,Small,Tier 2,Supermarket Type1,3010.7476,Train,21
180,FDQ28,14.0,Regular,0.060134441,Frozen Foods,153.0656,OUT027,Medium,Tier 3,Supermarket Type3,6024.1584,Train,38
181,FDV39,11.3,Low Fat,0.007294652,Meat,198.1426,OUT045,Small,Tier 2,Supermarket Type1,988.713,Train,21
182,NCO17,10.0,Low Fat,0.128478462,Health and Hygiene,117.944,OUT019,Small,Tier 1,Grocery Store,239.688,Train,38
183,FDU50,5.75,Regular,0.075107656,Dairy,112.8176,OUT013,High,Tier 3,Supermarket Type1,1374.2112,Train,36
184,FDT12,6.215,Regular,0.049381406,Baking Goods,226.8062,OUT027,Medium,Tier 3,Supermarket Type3,4739.8302,Train,38
185,FDK58,11.35,Regular,0.045165796,Snack Foods,100.0016,OUT018,Medium,Tier 3,Supermarket Type2,1012.016,Train,14
186,FDO08,11.1,Regular,0.09415375,Fruits and Vegetables,165.7526,OUT019,Small,Tier 1,Grocery Store,657.8104,Train,38
187,NCW29,14.0,Low Fat,0.028907832,Health and Hygiene,130.431,OUT049,Medium,Tier 1,Supermarket Type1,778.986,Train,24
188,FDE04,19.75,Regular,0.018059621,Frozen Foods,179.766,OUT045,Small,Tier 2,Supermarket Type1,2336.958,Train,21
189,NCB19,6.525,Low Fat,0.090436094,Household,85.0882,OUT049,Medium,Tier 1,Supermarket Type1,2233.0932,Train,24
190,FDV15,10.3,Low Fat,0.146399712,Meat,103.9648,OUT049,Medium,Tier 1,Supermarket Type1,1661.8368,Train,24
191,FDL58,5.78,Regular,0.074264356,Snack Foods,264.7568,OUT049,Medium,Tier 1,Supermarket Type1,4745.8224,Train,24
192,FDA08,11.85,Regular,0.050186726,Fruits and Vegetables,164.1526,OUT045,Small,Tier 2,Supermarket Type1,3124.5994,Train,21
193,FDT43,16.35,Low Fat,0.020631654,Fruits and Vegetables,50.1324,OUT018,Medium,Tier 3,Supermarket Type2,467.3916,Train,14
194,NCX06,17.6,Low Fat,0.01561108,Household,182.5976,OUT027,Medium,Tier 3,Supermarket Type3,5070.7328,Train,38
195,FDT20,10.5,Low Fat,0.041395445,Fruits and Vegetables,37.6164,OUT046,Small,Tier 1,Supermarket Type1,540.6296,Train,26
196,FDB41,19.0,Regular,0.097313129,Frozen Foods,48.0718,OUT046,Small,Tier 1,Supermarket Type1,992.7078,Train,26
197,NCN55,14.6,Low Fat,0.059582996,Others,238.8538,OUT049,Medium,Tier 1,Supermarket Type1,6008.845,Train,24
198,FDE40,15.6,Regular,0.098663652,Dairy,62.9194,OUT027,Medium,Tier 3,Supermarket Type3,2105.2596,Train,38
199,FDX49,4.615,Regular,0.101338651,Canned,232.63,OUT027,Medium,Tier 3,Supermarket Type3,5359.69,Train,38
200,NCM53,18.75,Low Fat,0.052146456,Health and Hygiene,104.628,OUT045,Small,Tier 2,Supermarket Type1,745.696,Train,21
201,FDE36,5.26,Regular,0.041764487,Baking Goods,161.8868,OUT035,Small,Tier 2,Supermarket Type1,3275.736,Train,19
202,FDN57,18.25,Low Fat,0.054344186,Snack Foods,140.2154,OUT045,Small,Tier 2,Supermarket Type1,1701.7848,Train,21
203,FDI24,10.3,Low Fat,0.078362484,Baking Goods,177.937,OUT027,Medium,Tier 3,Supermarket Type3,6704.606,Train,38
